Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Data Scientist,PayU Payments,3.3,605,FinTech,Hyderabad +22 other locations,0 - 3 yrs exp.,₹ 21.2 L/yr - ₹ 26.4 L/yr,21.2,26.4,,"Promotions, Job Security, Work Satisfaction"
Data Scientist,ICICI Securities,3.9,2.6k,Financial Services,Hyderabad +160 other locations,0 - 4 yrs exp.,₹ 17.8 L/yr - ₹ 24.7 L/yr,17.8,24.7,"Job Security, Work Life Balance",Promotions
Data Scientist,Goldman Sachs,3.3,1.7k,Financial Services,Hyderabad +23 other locations,0 - 5 yrs exp.,₹ 20.1 L/yr - ₹ 22.2 L/yr,20.1,22.2,,"Work Life Balance, Job Security, Promotions"
Data Scientist,MasterCard,3.8,1.1k,FinTech,Hyderabad +17 other locations,0 - 6 yrs exp.,₹ 16.9 L/yr - ₹ 25.3 L/yr,16.9,25.3,"Company Culture, Work Life Balance, Salary",Promotions
Data Scientist,Info Edge,3.8,2.5k,Internet,Hyderabad +70 other locations,0 - 4 yrs exp.,₹ 18.3 L/yr - ₹ 22.7 L/yr,18.3,22.7,Job Security,"Promotions, Work Satisfaction, Skill Development"
Data Scientist,Amazon Development Centre India,3.8,7.6k,Internet,Hyderabad +148 other locations,0 - 8 yrs exp.,₹ 16 L/yr - ₹ 23.4 L/yr,16,23.4,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
Data Scientist,Tata AIG,3.9,3.4k,Insurance,Hyderabad +266 other locations,0 - 4 yrs exp.,₹ 16 L/yr - ₹ 22.8 L/yr,16,22.8,"Job Security, Company Culture, Work Life Balance",Promotions
Data Scientist,Qualcomm,3.7,1.3k,Semiconductors,Hyderabad +21 other locations,0 - 5 yrs exp.,₹ 17.7 L/yr - ₹ 19.6 L/yr,17.7,19.6,Salary,"Promotions, Work Life Balance, Work Satisfaction"
Data Scientist,Micron Technology,3.7,538,Semiconductors,Hyderabad +18 other locations,0 - 7 yrs exp.,₹ 15.7 L/yr - ₹ 22.6 L/yr,15.7,22.6,,"Promotions, Work Satisfaction"
Data Scientist,Lowe's,4.0,1k,Retail,Hyderabad +9 other locations,0 - 5 yrs exp.,₹ 16.9 L/yr - ₹ 21.1 L/yr,16.9,21.1,"Work Life Balance, Company Culture, Job Security",Promotions
Data Scientist,Ola Electric Mobility,3.3,3.3k,Automobile,Hyderabad +455 other locations,0 - 4 yrs exp.,₹ 15.6 L/yr - ₹ 21.5 L/yr,15.6,21.5,Salary,"Job Security, Promotions, Company Culture"
Data Scientist,Air India,3.4,1.9k,Aviation,Hyderabad +67 other locations,0 - 5 yrs exp.,₹ 14.5 L/yr - ₹ 21.7 L/yr,14.5,21.7,,"Promotions, Company Culture, Work Satisfaction"
Data Scientist,Zee Entertainment Enterprises,3.4,782,Media & Entertainment,Hyderabad +38 other locations,0 - 6 yrs exp.,₹ 14.7 L/yr - ₹ 21.4 L/yr,14.7,21.4,,"Promotions, Job Security, Work Satisfaction"
Data Scientist,Ola Cabs,3.2,2.1k,Internet,Hyderabad +112 other locations,0 - 5 yrs exp.,₹ 15.1 L/yr - ₹ 21 L/yr,15.1,21,,"Job Security, Promotions, Company Culture"
Data Scientist,Swiggy,3.7,6k,Internet,Hyderabad +248 other locations,0 - 3 yrs exp.,₹ 14.3 L/yr - ₹ 20.9 L/yr,14.3,20.9,,"Job Security, Promotions, Work Life Balance"
Data Scientist,Kotak Mahindra Bank,3.6,23.5k,Banking,Hyderabad +712 other locations,0 - 5 yrs exp.,₹ 14.9 L/yr - ₹ 19.4 L/yr,14.9,19.4,,"Promotions, Work Satisfaction, Company Culture"
Developer,Google,4.4,2k,Software Product,Hyderabad +93 other locations,0 - 6 yrs exp.,₹ 16.8 L/yr - ₹ 24.4 L/yr,16.8,24.4,"Company Culture, Work Life Balance, Work Satisfaction",
Full Stack Developer,Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 7 yrs exp.,₹ 18.5 L/yr - ₹ 26.4 L/yr,18.5,26.4,"Work Life Balance, Company Culture","Job Security, Promotions"
Full Stack Developer,Optum Global Solutions,4.0,8.4k,IT Services & Consulting,Hyderabad +71 other locations,0 - 8 yrs exp.,₹ 16.4 L/yr - ₹ 18.7 L/yr,16.4,18.7,"Job Security, Work Life Balance, Company Culture",Promotions
Full Stack Engineer,Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 7 yrs exp.,₹ 18.5 L/yr - ₹ 26.4 L/yr,18.5,26.4,"Work Life Balance, Company Culture","Job Security, Promotions"
Full Stack Engineer,Optum Global Solutions,4.0,8.4k,IT Services & Consulting,Hyderabad +71 other locations,0 - 8 yrs exp.,₹ 16.4 L/yr - ₹ 18.7 L/yr,16.4,18.7,"Job Security, Work Life Balance, Company Culture",Promotions
Java Full Stack Developer,Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 7 yrs exp.,₹ 18.5 L/yr - ₹ 26.4 L/yr,18.5,26.4,"Work Life Balance, Company Culture","Job Security, Promotions"
Java Full Stack Developer,Optum Global Solutions,4.0,8.4k,IT Services & Consulting,Hyderabad +71 other locations,0 - 8 yrs exp.,₹ 16.4 L/yr - ₹ 18.7 L/yr,16.4,18.7,"Job Security, Work Life Balance, Company Culture",Promotions
