Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Software Engineer,Money View,4.1,324,FinTech,Hyderabad +26 other locations,0 - 6 yrs exp.,₹ 16.6 L/yr - ₹ 23.3 L/yr,16.6,23.3,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Software Engineer,Cadence Design Systems,3.8,345,Semiconductors,Hyderabad +19 other locations,0 - 4 yrs exp.,₹ 18.4 L/yr - ₹ 21.2 L/yr,18.4,21.2,"Company Culture, Work Life Balance, Salary","Promotions, Work Satisfaction"
Software Engineer,Walmart,3.5,3.2k,Retail,Hyderabad +96 other locations,0 - 8 yrs exp.,₹ 18.2 L/yr - ₹ 21.3 L/yr,18.2,21.3,,"Promotions, Work Satisfaction, Job Security"
Software Engineer,ACKO,3.2,665,Insurance,Hyderabad +15 other locations,0 - 3 yrs exp.,₹ 16.2 L/yr - ₹ 22.1 L/yr,16.2,22.1,,"Promotions, Job Security, Work Satisfaction"
Software Engineer,OPPO,3.9,4.6k,Consumer Electronics & Appliances,Hyderabad +419 other locations,0 - 4 yrs exp.,₹ 15.6 L/yr - ₹ 22.4 L/yr,15.6,22.4,Skill Development,"Promotions, Job Security"
Software Engineer,DeHaat,3.6,698,Internet,Hyderabad +121 other locations,0 - 5 yrs exp.,₹ 17.4 L/yr - ₹ 19.2 L/yr,17.4,19.2,,"Job Security, Promotions, Company Culture"
Software Engineer,Celigo,3.4,41,Software Product,Hyderabad +1 other locations,0 - 2 yrs exp.,₹ 16.7 L/yr - ₹ 20.9 L/yr,16.7,20.9,"Work Life Balance, Salary","Job Security, Promotions, Work Satisfaction"
Software Engineer,Teradata,3.5,485,Software Product,Hyderabad +10 other locations,0 - 6 yrs exp.,₹ 16 L/yr - ₹ 21.6 L/yr,16,21.6,Work Life Balance,"Job Security, Promotions, Skill Development"
Software Engineer,CommerceIQ,3.0,107,Software Product,Hyderabad +5 other locations,0 - 4 yrs exp.,₹ 14.8 L/yr - ₹ 21.6 L/yr,14.8,21.6,,"Promotions, Work Satisfaction, Job Security"
Software Engineer,Siemens EDA,4.0,69,Software Product,Hyderabad +7 other locations,0 - 3 yrs exp.,₹ 14.9 L/yr - ₹ 21.7 L/yr,14.9,21.7,"Work Life Balance, Company Culture, Salary",
Software Engineer,NXP Semiconductors,3.6,359,Semiconductors,Hyderabad +14 other locations,0 - 6 yrs exp.,₹ 15.7 L/yr - ₹ 20.7 L/yr,15.7,20.7,,"Promotions, Job Security, Work Satisfaction"
Software Engineer,Blackrock,3.4,672,Financial Services,Hyderabad +19 other locations,0 - 4 yrs exp.,₹ 16 L/yr - ₹ 20.1 L/yr,16,20.1,,"Promotions, Work Satisfaction, Company Culture"
Software Engineer,VMware Software,4.4,1.1k,Software Product,Hyderabad +18 other locations,0 - 7 yrs exp.,₹ 14.5 L/yr - ₹ 21.6 L/yr,14.5,21.6,"Salary, Company Culture, Work Life Balance",
