Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 7 yrs exp.,₹ 18.5 L/yr - ₹ 26.4 L/yr,18.5,26.4,"Work Life Balance, Company Culture","Job Security, Promotions"
Optum Global Solutions,4.0,8.4k,IT Services & Consulting,Hyderabad +71 other locations,0 - 8 yrs exp.,₹ 16.4 L/yr - ₹ 18.7 L/yr,16.4,18.7,"Job Security, Work Life Balance, Company Culture",Promotions
