Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
CRED,3.5,188,FinTech,Hyderabad +15 other locations,0 - 4 yrs exp.,₹ 26 L/yr - ₹ 35.5 L/yr,26,35.5,,"Promotions, Job Security, Work Life Balance"
Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 4 yrs exp.,₹ 13.9 L/yr - ₹ 20.8 L/yr,13.9,20.8,"Company Culture, Work Life Balance, Salary",Promotions
