Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 4 yrs exp.,₹ 27.5 L/yr - ₹ 41.1 L/yr,27.5,41.1,"Work Life Balance, Company Culture","Job Security, Promotions"
Google,4.4,2k,Software Product,Hyderabad +93 other locations,0 - 5 yrs exp.,₹ 17.2 L/yr - ₹ 24.9 L/yr,17.2,24.9,"Company Culture, Work Life Balance, Work Satisfaction",
