Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Blend360,3.5,37,IT Services & Consulting,Hyderabad +1 other locations,0 - 4 yrs exp.,₹ 19 L/yr - ₹ 23.8 L/yr,19,23.8,"Salary, Skill Development","Job Security, Work Satisfaction, Promotions"
PayU Payments,3.3,605,FinTech,Hyderabad +22 other locations,0 - 5 yrs exp.,₹ 15.3 L/yr - ₹ 21.5 L/yr,15.3,21.5,,"Promotions, Job Security, Work Satisfaction"
Visa,3.3,523,FinTech,Hyderabad +18 other locations,0 - 6 yrs exp.,₹ 14.7 L/yr - ₹ 19.9 L/yr,14.7,19.9,,"Promotions, Job Security, Work Satisfaction"
